Beer name	Brewery location	Beer rating
Jolly Pumpkin Artisan Ales	Dexter, Michigan	3.4
Beavertown Brewery	Tottenham, Greater London	3.7
Port Brewing Company / The Lost Abbey	San Marcos, California	3.7
Sierra Nevada Brewing Company	Chico, California	3.7
Prairie Artisan Ales	Tulsa, Oklahoma	3.7
The Kernel	Bermondsey, Greater London	3.7
Trillium Brewing Company	Boston, Massachusetts	3.7
Tree House Brewing Company	Monson, Massachusetts	3.7
7venth Sun Brewery	Dunedin, Florida	3.7
Oskar Blues Brewery	Longmont, Colorado	3.7
Tired Hands Brewing Company	Ardmore, Pennsylvania	3.7
Cigar City Brewing	Tampa, Florida	3.7
Westbrook Brewing	Mount Pleasant, South Carolina	3.7
Brewery Ommegang (Duvel-Moortgat)	Cooperstown, New York	3.7
Brauerei Gebr. Maisel Bayreuth	Bayreuth, Bavaria	3.7
Buxton	Buxton, Derbyshire	3.7
Cellarmaker Brewing Company	San Francisco, California	3.8
Stone Brewing	Escondido, California	3.8
Magic Rock Brewing	Huddersfield, West Yorkshire	3.8
Gigantic Brewing Co.	Portland, Oregon	3.8
AleSmith Brewing Company	San Diego, California	3.8
Thornbridge	Ashford in the Water, Derbyshire	3.8
Unibroue (Sapporo)	Chambly, Quebec	3.8
Snowdrift Cider Co.	East Wenatchee, Washington	3.8
Sierra Nevada Brewing Company	Chico, California	3.8
Trillium Brewing Company	Boston, Massachusetts	3.8
Dogfish Head Brewery	Milton, Delaware	3.8
Sierra Nevada Brewing Company	Chico, California	3.8
Avery Brewing Company	Boulder, Colorado	3.8
Ballast Point Brewing Company (Constellation)	San Diego, California	3.8
Founders Brewing Company	Grand Rapids, Michigan	3.8
Schneider Weisse G. Schneider & Sohn GmbH	Kelheim, Bavaria	3.5
Great Divide Brewing Company	Denver, Colorado	3.5
Lagunitas Brewing Company (Heineken)	Petaluma, California	3.5
Sierra Nevada Brewing Company	Chico, California	3.5
Schramm’s Mead	Ferndale, Michigan	3.5
Thornbridge	Ashford in the Water, Derbyshire	3.5
Prairie Artisan Ales	Tulsa, Oklahoma	3.5
Brooklyn Brewery	Brooklyn, New York	3.5
The Kernel	Bermondsey, Greater London	3.5
Fieldwork Brewing Company	Berkeley, California	3.5
Toppling Goliath	Decorah, Iowa	3.5
Cycle Brewing	Saint Petersburg, Florida	3.5
Trillium Brewing Company	Boston, Massachusetts	3.5
The Alchemist	Stowe, Vermont	3.5
Creature Comforts Brewing Company	Athens, Georgia	3.5
Modern Times Beer	San Diego, California	3.6
Other Half Brewing	Brooklyn, New York	3.6
Cloudwater Brew Co	Manchester, Greater Manchester	3.6
Hop Valley Brewing Company	Eugene, Oregon	3.6
Epic Brewing Company (UT/CO)	Salt Lake City, Utah	3.6
Steamworks Brewing (Canada)	Vancouver, British Columbia	3.6
Funky Buddha Brewery	Oakland Park, Florida	3.6
Unibroue (Sapporo)	Chambly, Quebec	3.6
Epic Brewing Company (UT/CO)	Salt Lake City, Utah	3.6
Mikkeller San Diego	San Diego, California	3.6
Pipeworks Brewing Company	Chicago, Illinois	3.6
Fuller’s	London, Greater London	3.6
Tired Hands Brewing Company	Ardmore, Pennsylvania	3.6
Ballast Point Brewing Company (Constellation)	San Diego, California	3.6
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	3.6
North Coast Brewing Company	Fort Bragg, California	4.1
Lord Hobo Brewing Company	Woburn, Massachusetts	4.1
Tree House Brewing Company	Monson, Massachusetts	4.1
Firestone Walker Brewing (Duvel-Moortgat)	Paso Robles, California	4.1
Lagunitas Brewing Company (Heineken)	Petaluma, California	4.1
Pipeworks Brewing Company	Chicago, Illinois	4.1
Cycle Brewing	Saint Petersburg, Florida	4.1
Trillium Brewing Company	Boston, Massachusetts	4.1
Boulevard Brewing Company (Duvel-Moortgat)	Kansas City, Missouri	4.1
Boulevard Brewing Company (Duvel-Moortgat)	Kansas City, Missouri	4.1
AleSmith Brewing Company	San Diego, California	4.1
Firestone Walker Brewing (Duvel-Moortgat)	Paso Robles, California	4.1
Hill Farmstead Brewery	Greensboro, Vermont	4.1
Paulaner Brauerei (Schörghuber)	Munich, Bavaria	4.1
Tallgrass Brewing Company	Manhattan, Kansas	4.1
Suarez Family Brewery	Livingston , New York	3
Grand Teton Brewing Co.	Victor, Idaho	3
Southern Prohibition Brewery	Hattiesburg, Mississippi	3
Klosterbrauerei Andechs	Andechs, Bavaria	3
Rogue Ales	Newport, Oregon	3
Sutton Brouërie	Sutton, Quebec	3
American Solera	Tulsa, Oklahoma	3
Modern Times Beer	San Diego, California	3
Jack’s Abby Brewing	Framingham, Massachusetts	3
LTM - Les Trois Mousquetaires	Brossard, Quebec	3
Stillwater Artisanal	Baltimore, Maryland	3
Camba Bavaria	Seeon, Bavaria	3
Moonlight Brewing Company	Santa Rosa, California	3
Stiegl	Salzburg , Austria	3
Modern Times Beer	San Diego, California	3
Modern Times Beer	San Diego, California	4.2
Moonraker Brewing Company	Auburn, California	4.2
Cloudwater Brew Co	Manchester, Greater Manchester	4.2
American Solera	Tulsa, Oklahoma	4.2
Cigar City Brewing	Tampa, Florida	4.2
Half Acre Beer Company	Chicago, Illinois	4.2
Toppling Goliath	Decorah, Iowa	4.2
Three Floyds Brewing Company	Munster, Indiana	4.2
Cellarmaker Brewing Company	San Francisco, California	4.2
Prairie Artisan Ales	Tulsa, Oklahoma	4.2
Victory Brewing Company (ABV)	Downingtown, Pennsylvania	4.2
Buxton	Buxton, Derbyshire	4.2
Prairie Artisan Ales	Tulsa, Oklahoma	4.2
Paulaner Brauerei (Schörghuber)	Munich, Bavaria	4.2
The Alchemist	Stowe, Vermont	4.2
Stone Brewing	Escondido, California	4
Other Half Brewing	Brooklyn, New York	4
Brauerei Ferdinand Schumacher	Düsseldorf, North Rhine-Westphalia	4
The Veil Brewing Company	Richmond, Virginia	4
The Alchemist	Stowe, Vermont	4
LTM - Les Trois Mousquetaires	Brossard, Quebec	4
Crux Fermentation Project	Bend, Oregon	4
Alpine Beer Company (CA)	Alpine, California	4
Brasserie St-Feuillien / Friart	Le Roeulx, Belgium	4
Revolution Brewing Company	Chicago, Illinois	4
Other Half Brewing	Brooklyn, New York	4
Brasserie Vrooden	Granby, Quebec	4
Peak Organic Brewing Company	Portland, Maine	4
Monkish Brewing Company	Torrance, California	4
Stone Brewing	Escondido, California	4
Stone Brewing	Escondido, California	3.8
Cloudwater Brew Co	Manchester, Greater Manchester	3.8
Port Brewing Company / The Lost Abbey	San Marcos, California	3.8
L’Amère à Boire	Montreal, Quebec	3.8
Fuller’s	London, Greater London	3.8
Evil Twin Brewing	Brooklyn, New York	3.8
Arrogant Brewing	Escondido, California	3.8
Caldera Brewing Company	Ashland, Oregon	3.8
Almanac Beer Company	San Francisco, California	3.8
Sante Adairius Rustic Ales	Capitola, California	3.8
AleSmith Brewing Company	San Diego, California	3.8
Bell’s Brewery	Galesburg, Michigan	3.8
Tallgrass Brewing Company	Manhattan, Kansas	3.8
Hill Farmstead Brewery	Greensboro, Vermont	3.8
De Dolle Brouwers	Diksmuide, Belgium	3.8
Dark Horse Brewing Company	Marshall, Michigan	3.4
Dry County Brewing Company	Kennesaw, Georgia	3.4
Hill Farmstead Brewery	Greensboro, Vermont	3.4
Beavertown Brewery	Tottenham, Greater London	3.4
Stone Brewing	Escondido, California	3.4
Lagunitas Brewing Company (Heineken)	Petaluma, California	3.4
Great Divide Brewing Company	Denver, Colorado	3.4
Le Baladin	Piozzo, Italy	3.4
Prairie Artisan Ales	Tulsa, Oklahoma	3.4
Brouwerij der Trappisten van Westmalle	Malle, Belgium	3.4
Allagash Brewing Company	Portland, Maine	3.4
Dieu du Ciel	Montreal, Quebec	3.4
Founders Brewing Company	Grand Rapids, Michigan	3.4
Westvleteren Abdij St. Sixtus	Westvleteren, Belgium	3.4
Cloudwater Brew Co	Manchester, Greater Manchester	3.4
Cloudwater Brew Co	Manchester, Greater Manchester	4.3
Cigar City Brewing	Tampa, Florida	4.3
